,,nb.of.open.flowers.per.floral.unit,nb.of.open.flowers.per.floral.unit,nb.of.open.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover.at.the.peak.of.flowering.season,nb.of.total.flowers.per.m².of.vegetative.cover,nb.of.total.flowers.per.m².of.vegetative.cover,nb.of.total.flowers.per.m².of.vegetative.cover
species,FU.category,mean,var,n,mean,var,n,mean,var,n,mean,mean,var,n
Leontodon autumnalis,single capitulum,37.2,124.62,10,42.4,91.38,10,25976.08,416365705.4,10,37581.14,112593.71,4581016529,10
Leontodon hispidus,single capitulum,74,1068,5,106.8,1431.2,5,3600.17,11121008.41,5,10286.19,13869.27,86700394.69,5
Leucanthemum vulgare,single capitulum,135.2,13831.29,10,213.4,13214.27,10,66558.72,1616251613,10,164219.12,115897.92,4080205252,10
Ligustrum vulgare,single panicle,113.2,4691.2,5,230.4,11554.8,5,10985.35,35218278.7,5,13731.69,48567.91,616397684.1,5
Linaria vulgaris,single flower,1,0,5,1,0,5,1224,622656,5,1964.84,3564,1946448,5
Lonicera periclymenum,single flower,1,0,15,1,0,15,57.91,2074.09,15,85.8,463.79,176082.21,15
Lotus corniculatus,single flower,1,0,10,1,0,10,331.59,84639.06,10,399.4,847.7,310732.08,10
Lotus pedunculatus,single flower,1,0,5,1,0,5,376.59,58826.17,5,524.95,898.53,281317.95,5
Lysimachia nemorum,single flower,1,0,5,1,0,5,61.56,2829.17,5,119.96,91.08,6122.95,5
Lythrum salicaria,single flower,1,0,6,1,0,6,1678.19,490190.16,6,3066.67,18138.86,510476373.6,6
Malus domestica,single flower,1,0,8,1,0,8,185.26,89097.86,8,239.58,680.75,107220.81,8
Matricaria discoidea,single capitulum,291.8,22568.4,10,313,17173.56,10,399225.6,2.30E+11,10,605097.93,772975.44,2.28E+11,10
Matricaria recutita,single capitulum,140.8,6355.2,5,347.2,9291.2,5,161378.74,9148101628,5,213589.51,944985.6,1.67E+11,5
Medicago lupulina,single globular raceme,18.2,51.2,5,24.2,31.7,5,16190.06,123045820,5,17089.5,36917.49,417083396.2,5
Medicago sativa,single flower,1,0,5,1,0,5,2498.68,457032.53,5,2883.09,24674.48,44567813.25,5
Melilotus officinalis,single flower,1,0,5,1,0,5,8575.52,9232579.09,5,11693.89,26231.71,30615089.24,5
Mercurialis perennis,single flower,1,0,10,1,0,10,661.99,295567.62,10,1192.35,5123.41,30507687.81,10
Myosotis arvensis,single flower,1,0,10,1,0,10,3166.87,1328467.63,10,22490.84,8355.34,16426621.51,10
Narthecium ossifragum,single flower,1,0,5,1,0,5,600,154944,5,862.5,22574.4,86094604.8,5
Odontites vernus,single flower,1,0,5,1,0,5,1795.2,2779603.2,5,NA,13807.2,4944931.2,5
Origanum vulgare,single flower,1,0,7,1,0,7,16183.86,342383034.4,7,39756.51,47952.01,3272267285,7
Oxalis acetosella,single flower,1,0,9,1,0,9,87.45,11082.63,9,318.24,221.95,42939.84,9
Papaver rhoeas,single flower,1,0,14,1,0,14,53.87,704.51,14,114.54,837.03,399831.78,14
Pastinaca sativa,secondary umbel,3.25,3.93,8,12,34.29,8,561.47,114083.49,8,NA,16921.03,153135889.8,8
Persicaria maculosa,single spike,18.8,192.7,5,78.2,421.7,5,795.7,499496.45,5,916.57,4626.18,7162950.63,5
Picris echioides,single capitulum,70,174.67,7,89.14,479.81,7,28302.37,762673024.4,7,23028.11,245808,15031446528,7
Pilosella officinarum,single capitulum,52.4,750.8,5,63.6,162.8,5,928.78,657817.3,5,1274.09,2887.76,4190215.51,5
Pisum sativum,single flower,1,0,10,1,0,10,74.14,1545.47,10,77.97,601.28,35308.49,10
Plantago coronopus,single spyke,6.4,204.8,5,34.2,40.7,5,3058.04,46757932.01,5,5364.1,78244.69,1155647038,5
Plantago lanceolata,single spyke,54,627.56,10,79.4,1342.27,10,3445.48,6216155.88,10,3665.92,25694.73,116065592.4,10
Plantago major,single spyke,95.6,4798.93,10,202.2,8531.96,10,5898.37,28577781.11,10,9200.17,81736.36,3856290672,10
Polygonum aviculare agg.,single flower,1,0,5,1,0,5,855.77,416169.4,5,1134.83,12920.91,19728685.32,5
Potentilla anserina,single flower,1,0,10,1,0,10,14.34,75.92,10,34.07,18.74,367.49,10
Potentilla erecta,single flower,1,0,10,1,0,10,468.96,49367.3,10,2325.7,3750.24,3652966.66,10
Potentilla reptans,single flower,1,0,2,1,0,2,288,0,2,1016.47,1080,93312,2
Primula vulgaris,single flower,1,0,10,1,0,10,246.98,21666.56,10,472.23,394.61,22941.72,10
Prunella vulgaris,single flower,1,0,10,1,0,10,1551.7,2126424.65,10,3866.52,16238.37,100942821.7,10
Prunus avium,single flower,1,0,9,1,0,9,1476.44,2699289.24,9,1705.24,2094.35,3082247.09,9
Prunus spinosa,single flower,1,0,10,1,0,10,1327.88,414418.68,10,2134.09,2222.15,759278.48,10
Pulicaria dysenterica,single capitulum,147,19026,10,390.6,6128.04,10,38379.88,2673636095,10,57391.63,210805.45,9831372365,10
Ranunculus bulbosus,single flower,1,0,10,1,0,10,178.64,3609.05,10,209.08,504.14,24944.62,10
Ranunculus acris,single flower,1,0,10,1,0,10,452.76,53395.41,10,688.46,721.91,193574.52,10
Ranunculus ficaria,single flower,1,0,10,1,0,10,96.57,4231.05,10,153.13,283.73,3849.92,10
Ranunculus flammula,single flower,1,0,10,1,0,10,290.4,12825.6,10,496.49,1558.8,155822.4,10
Ranunculus lingua,single flower,1,0,5,1,0,5,55.75,283.74,5,70.85,169.2,1555.2,5
Ranunculus repens,single flower,1,0,10,1,0,10,174.77,5160.15,10,275.99,323.22,24373.48,10
Raphanus raphanistrum,single flower,1,0,10,1,0,10,1366.8,1526798.4,10,NA,15411.6,167929985.6,10
Raphanus sativus,single flower,1,0,5,1,0,5,312.97,54927.64,5,NA,11267.34,27577272.76,5
Rhinanthus minor,single flower,1,0,10,1,0,10,590.04,109988.5,10,753.48,1681.56,1336672.66,10
Rhododendron ponticum,single flower,1,0,10,1,0,10,126.47,18923.92,10,130.02,270.2,32846.11,10
Rosa canina agg.,single flower,1,0,10,1,0,10,65.5,3986.23,10,109.51,442.46,90147.16,10
