species,date,hour,location,habitat,FU.category,year,quadrat.no.independency,nb.of.floral.units.in.buds,nb.of.opened.floral.units,nb.of.fruited.floral.units,nb.of.buds.per.opened.floral.unit,nb.of.opened.flowers.per.opened.floral.unit,nb.of.fruited.flowers.per.opened.floral.unit,nb.of.cross.points,vegetative.area,nb.of.opened.flowers.per.fu,nb.of.total.flowers.per.fu,nb.of.opened.flowers,nb.of.total.flowers,nb.of.opened.flowers.per.m2,nb.of.total.flowers.per.m2
Ranunculus repens,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,5,3,3,1,0,1,0,2,0.013888889,1,1,3,7,216,504
Ranunculus repens,24/05/2011,17:00,brandon hill,grassland nature reserve,single flower,2011,1,15,40,5,0,1,0,30,0.208333333,1,1,40,60,192,288
Ranunculus repens,24/05/2011,17:00,brandon hill,grassland nature reserve,single flower,2011,2,3,20,43,0,1,0,26,0.180555556,1,1,20,66,110.7692308,365.5384615
Ranunculus repens,24/05/2011,17:00,brandon hill,grassland nature reserve,single flower,2011,3,12,38,62,0,1,0,32,0.222222222,1,1,38,112,171,504
Ranunculus repens,24/05/2011,17:00,brandon hill,grassland nature reserve,single flower,2011,4,4,27,8,0,1,0,15,0.104166667,1,1,27,39,259.2,374.4
Ranunculus repens,24/05/2011,17:00,brandon hill,grassland nature reserve,single flower,2011,5,7,33,18,0,1,0,16,0.111111111,1,1,33,58,297,522
Raphanus raphanistrum,13/09/2012,15:00,failand farm1,grassland,single flower,2012,1,90,15,32,0,1,0,4,0.027777778,1,1,15,137,540,4932
Raphanus raphanistrum,13/09/2012,15:00,failand farm1,grassland,single flower,2012,2,88,9,63,0,1,0,3,0.020833333,1,1,9,160,432,7680
Raphanus raphanistrum,13/09/2012,15:00,failand farm1,grassland,single flower,2012,3,220,27,80,0,1,0,1,0.006944444,1,1,27,327,3888,47088
Raphanus raphanistrum,13/09/2012,15:00,failand farm1,grassland,single flower,2012,4,208,22,54,0,1,0,4,0.027777778,1,1,22,284,792,10224
Raphanus raphanistrum,13/09/2012,15:00,failand farm1,grassland,single flower,2012,5,247,14,59,0,1,0,3,0.020833333,1,1,14,320,672,15360
Raphanus raphanistrum,13/09/2012,14:40,failand farm2,grassland,single flower,2012,1,150,24,25,0,1,0,1,0.006944444,1,1,24,199,3456,28656
Raphanus raphanistrum,13/09/2012,14:40,failand farm2,grassland,single flower,2012,2,36,6,15,0,1,0,1,0.006944444,1,1,6,57,864,8208
Raphanus raphanistrum,13/09/2012,14:40,failand farm2,grassland,single flower,2012,3,111,21,24,0,1,0,3,0.020833333,1,1,21,156,1008,7488
Raphanus raphanistrum,13/09/2012,14:40,failand farm2,grassland,single flower,2012,4,54,15,90,0,1,0,2,0.013888889,1,1,15,159,1080,11448
Raphanus raphanistrum,13/09/2012,14:40,failand farm2,grassland,single flower,2012,5,120,13,48,0,1,0,2,0.013888889,1,1,13,181,936,13032
Raphanus sativus,06/08/2012,12:00,pill allotments,allotments,single flower,2012,1,418,20,116,0,1,0,4,0.027777778,1,1,20,554,720,19944
Raphanus sativus,06/08/2012,12:00,pill allotments,allotments,single flower,2012,2,924,30,250,0,1,0,28,0.194444444,1,1,30,1204,154.2857143,6192
Raphanus sativus,06/08/2012,12:00,pill allotments,allotments,single flower,2012,3,444,17,258,0,1,0,9,0.0625,1,1,17,719,272,11504
Raphanus sativus,06/08/2012,12:00,pill allotments,allotments,single flower,2012,4,1778,62,594,0,1,0,34,0.236111111,1,1,62,2434,262.5882353,10308.70588
Raphanus sativus,06/08/2012,12:00,pill allotments,allotments,single flower,2012,5,1184,26,188,0,1,0,24,0.166666667,1,1,26,1398,156,8388
Rhinanthus minor,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,1,6,5,2,0,1,0,8,0.055555556,1,1,5,13,90,234
Rhinanthus minor,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,2,7,21,11,0,1,0,10,0.069444444,1,1,21,39,302.4,561.6
Rhinanthus minor,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,3,2,10,3,0,1,0,2,0.013888889,1,1,10,15,720,1080
Rhinanthus minor,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,4,3,6,0,0,1,0,1,0.006944444,1,1,6,9,864,1296
Rhinanthus minor,20/06/2011,10:30,ashton court,grassland nature reserve,single flower,2011,5,6,4,0,0,1,0,2,0.013888889,1,1,4,10,288,720
Rhinanthus minor,02/06/2011,11:50,brandon hill,grassland nature reserve,single flower,2011,1,5,21,96,0,1,0,10,0.069444444,1,1,21,122,302.4,1756.8
Rhinanthus minor,02/06/2011,11:50,brandon hill,grassland nature reserve,single flower,2011,2,0,18,32,0,1,0,4,0.027777778,1,1,18,50,648,1800
Rhinanthus minor,02/06/2011,11:50,brandon hill,grassland nature reserve,single flower,2011,3,0,27,82,0,1,0,4,0.027777778,1,1,27,109,972,3924
Rhinanthus minor,02/06/2011,11:50,brandon hill,grassland nature reserve,single flower,2011,4,4,22,73,0,1,0,5,0.034722222,1,1,22,99,633.6,2851.2
Rhinanthus minor,02/06/2011,11:50,brandon hill,grassland nature reserve,single flower,2011,5,6,15,15,0,1,0,2,0.013888889,1,1,15,36,1080,2592
Rhododendron ponticum,15/05/2012,NA,ashton court,grassland-woodland,single flower,2012,1,14,72,17,0,1,0,22,0.152777778,1,1,72,103,471.2727273,674.1818182
Rhododendron ponticum,15/05/2012,NA,ashton court,grassland-woodland,single flower,2012,2,22,24,6,0,1,0,34,0.236111111,1,1,24,52,101.6470588,220.2352941
Rhododendron ponticum,15/05/2012,NA,ashton court,grassland-woodland,single flower,2012,3,18,0,6,0,1,0,32,0.222222222,1,1,0,24,0,108
Rhododendron ponticum,15/05/2012,NA,ashton court,grassland-woodland,single flower,2012,4,4,28,12,0,1,0,35,0.243055556,1,1,28,44,115.2,181.0285714
Rhododendron ponticum,15/05/2012,NA,ashton court,grassland-woodland,single flower,2012,5,45,0,0,0,1,0,35,0.243055556,1,1,0,45,0,185.1428571
Rhododendron ponticum,23/05/2012,NA,paradise bottom,woodland,single flower,2012,1,22,9,11,0,1,0,32,0.222222222,1,1,9,42,40.5,189
Rhododendron ponticum,23/05/2012,NA,paradise bottom,woodland,single flower,2012,2,29,9,0,0,1,0,29,0.201388889,1,1,9,38,44.68965517,188.6896552
Rhododendron ponticum,23/05/2012,NA,paradise bottom,woodland,single flower,2012,3,4,32,60,0,1,0,26,0.180555556,1,1,32,96,177.2307692,531.6923077
Rhododendron ponticum,23/05/2012,NA,paradise bottom,woodland,single flower,2012,4,1,30,8,0,1,0,26,0.180555556,1,1,30,39,166.1538462,216
Rhododendron ponticum,23/05/2012,NA,paradise bottom,woodland,single flower,2012,5,6,37,9,0,1,0,36,0.25,1,1,37,52,148,208
Rosa canina agg.,25/06/2012,10:40,downs,grassland,single flower,2012,1,14,8,16,0,1,0,23,0.159722222,1,1,8,38,50.08695652,237.9130435
Rosa canina agg.,25/06/2012,10:40,downs,grassland,single flower,2012,2,4,4,4,0,1,0,32,0.222222222,1,1,4,12,18,54
Rosa canina agg.,25/06/2012,10:40,downs,grassland,single flower,2012,3,3,2,25,0,1,0,28,0.194444444,1,1,2,30,10.28571429,154.2857143
Rosa canina agg.,25/06/2012,10:40,downs,grassland,single flower,2012,4,0,3,38,0,1,0,13,0.090277778,1,1,3,41,33.23076923,454.1538462
Rosa canina agg.,25/06/2012,10:40,downs,grassland,single flower,2012,5,0,1,14,0,1,0,22,0.152777778,1,1,1,15,6.545454545,98.18181818
Rosa canina agg.,18/06/2012,12:10,sand point,coastline-grassland,single flower,2012,1,55,4,11,0,1,0,11,0.076388889,1,1,4,70,52.36363636,916.3636364
Rosa canina agg.,18/06/2012,12:10,sand point,coastline-grassland,single flower,2012,1,9,2,4,0,1,0,3,0.020833333,1,1,2,15,96,720
Rosa canina agg.,18/06/2012,12:10,sand point,coastline-grassland,single flower,2012,2,6,3,22,0,1,0,7,0.048611111,1,1,3,31,61.71428571,637.7142857
Rosa canina agg.,18/06/2012,12:10,sand point,coastline-grassland,single flower,2012,3,14,10,15,0,1,0,13,0.090277778,1,1,10,39,110.7692308,432
Rosa canina agg.,18/06/2012,12:10,sand point,coastline-grassland,single flower,2012,4,4,9,17,0,1,0,6,0.041666667,1,1,9,30,216,720
Rubus fruticosus agg.,27/06/2011,10:00,ashton court,woodland carpark,single flower,2011,1,2,12,25,0,1,0,22,0.152777778,1,1,12,39,78.54545455,255.2727273
Rubus fruticosus agg.,27/06/2011,10:00,ashton court,woodland carpark,single flower,2011,2,20,45,10,0,1,0,30,0.208333333,1,1,45,75,216,360
Rubus fruticosus agg.,27/06/2011,10:00,ashton court,woodland carpark,single flower,2011,3,12,2,0,0,1,0,20,0.138888889,1,1,2,14,14.4,100.8
Rubus fruticosus agg.,27/06/2011,10:00,ashton court,woodland carpark,single flower,2011,4,2,12,4,0,1,0,10,0.069444444,1,1,12,18,172.8,259.2
Rubus fruticosus agg.,27/06/2011,10:00,ashton court,woodland carpark,single flower,2011,5,4,3,7,0,1,0,8,0.055555556,1,1,3,14,54,252
Rubus fruticosus agg.,13/06/2011,12:30,brandon hill,woodland nature reserve,single flower,2011,1,75,9,36,0,1,0,33,0.229166667,1,1,9,120,39.27272727,523.6363636
Rubus fruticosus agg.,13/06/2011,12:30,brandon hill,woodland nature reserve,single flower,2011,2,33,14,11,0,1,0,30,0.208333333,1,1,14,58,67.2,278.4
Rubus fruticosus agg.,13/06/2011,12:30,brandon hill,woodland nature reserve,single flower,2011,3,125,9,16,0,1,0,36,0.25,1,1,9,150,36,600
Rubus fruticosus agg.,13/06/2011,12:30,brandon hill,woodland nature reserve,single flower,2011,4,56,12,8,0,1,0,19,0.131944444,1,1,12,76,90.94736842,576
Rubus fruticosus agg.,13/06/2011,12:30,brandon hill,woodland nature reserve,single flower,2011,5,128,5,0,0,1,0,34,0.236111111,1,1,5,133,21.17647059,563.2941176
Sagina sp.,25/06/2012,NA,univ bike shed,pot,single flower,2012,1,75,180,150,0,1,0,4,0.027777778,1,1,180,405,6480,14580
Sambucus nigra,20/06/2011,11:30,ashton court,grassland nature reserve,whole umbel,2011,1,0,1,0,35,210,0,30,0.208333333,210,245,210,245,1008,1176
Sambucus nigra,20/06/2011,11:30,ashton court,grassland nature reserve,whole umbel,2011,2,0,2,0,10,180,12,26,0.180555556,180,202,360,404,1993.846154,2237.538462
Sambucus nigra,20/06/2011,11:30,ashton court,grassland nature reserve,whole umbel,2011,3,0,2,5,0,150,25,15,0.104166667,150,175,300,1225,2880,11760
Sambucus nigra,20/06/2011,11:30,ashton court,grassland nature reserve,whole umbel,2011,4,0,1,0,2,85,10,12,0.083333333,85,97,85,97,1020,1164
Sambucus nigra,20/06/2011,11:30,ashton court,grassland nature reserve,whole umbel,2011,5,0,2,1,0,140,30,5,0.034722222,140,170,280,510,8064,14688
Sambucus nigra,08/06/2011,10:45,brandon hill,woodland nature reserve,whole umbel,2011,1,0,8,8,0,264,66,35,0.243055556,264,330,2112,5280,8689.371429,21723.42857
Sambucus nigra,08/06/2011,10:45,brandon hill,woodland nature reserve,whole umbel,2011,2,0,8,5,0,188,47,33,0.229166667,188,235,1504,3055,6562.909091,13330.90909
Sambucus nigra,08/06/2011,10:45,brandon hill,woodland nature reserve,whole umbel,2011,3,0,4,3,0,580,0,32,0.222222222,580,580,2320,4060,10440,18270
Sambucus nigra,08/06/2011,10:45,brandon hill,woodland nature reserve,whole umbel,2011,4,0,4,7,0,232,0,36,0.25,232,232,928,2552,3712,10208
Sambucus nigra,08/06/2011,10:45,brandon hill,woodland nature reserve,whole umbel,2011,5,0,1,5,0,219,146,34,0.236111111,219,365,219,2190,927.5294118,9275.294118
Sanguisorba minor,18/06/2012,12:10,sand point,coastline-grassland,terminal spyke,2012,1,0,7,17,8,11,0,2,0.013888889,11,19,77,456,5544,32832
Sanguisorba minor,18/06/2012,12:10,sand point,coastline-grassland,terminal spyke,2012,2,0,1,8,0,0,26,2,0.013888889,0,26,0,234,0,16848
Saponaria officinalis,09/08/2011,NA,troopers hill,grassland park,single flower,2011,1,44,12,0,0,1,0,9,0.0625,1,1,12,56,192,896
Saponaria officinalis,09/08/2011,NA,troopers hill,grassland park,single flower,2011,2,23,7,1,0,1,0,4,0.027777778,1,1,7,31,252,1116
Saponaria officinalis,09/08/2011,NA,troopers hill,grassland park,single flower,2011,3,34,32,9,0,1,0,5,0.034722222,1,1,32,75,921.6,2160
Saponaria officinalis,09/08/2011,NA,troopers hill,grassland park,single flower,2011,4,5,5,13,0,1,0,5,0.034722222,1,1,5,23,144,662.4
Saponaria officinalis,09/08/2011,NA,troopers hill,grassland park,single flower,2011,5,18,5,0,0,1,0,13,0.090277778,1,1,5,23,55.38461538,254.7692308
Senecio erucifolius,25/08/2011,10:00,ashton court,woodland carpark,single capitulum,2011,1,24,1,10,50,0,0,1,0.006944444,0,50,0,1750,0,252000
Senecio erucifolius,25/08/2011,10:00,ashton court,woodland carpark,single capitulum,2011,2,7,12,50,0,44,0,2,0.013888889,44,44,528,3036,38016,218592
Senecio erucifolius,25/08/2011,10:00,ashton court,woodland carpark,single capitulum,2011,3,70,55,35,0,40,8,7,0.048611111,40,48,2200,7680,45257.14286,157988.5714
Senecio erucifolius,25/08/2011,10:00,ashton court,woodland carpark,single capitulum,2011,4,35,16,58,16,34,0,3,0.020833333,34,50,544,5450,26112,261600
Senecio erucifolius,25/08/2011,10:00,ashton court,woodland carpark,single capitulum,2011,5,31,2,15,14,54,0,1,0.006944444,54,68,108,3264,15552,470016
Senecio jacobaea,21/07/2011,15:00,brandon hill,grassland park,single capitulum,2011,1,31,43,29,52,16,0,3,0.020833333,16,68,688,7004,33024,336192
Senecio jacobaea,21/07/2011,15:00,brandon hill,grassland park,single capitulum,2011,2,34,28,8,40,30,4,1,0.006944444,30,74,840,5180,120960,745920
Senecio jacobaea,21/07/2011,15:00,brandon hill,grassland park,single capitulum,2011,3,69,78,16,56,20,0,4,0.027777778,20,76,1560,12388,56160,445968
Senecio jacobaea,21/07/2011,15:00,brandon hill,grassland park,single capitulum,2011,4,13,20,10,46,28,0,1,0.006944444,28,74,560,3182,80640,458208
Senecio jacobaea,21/07/2011,15:00,brandon hill,grassland park,single capitulum,2011,5,29,92,24,60,20,0,4,0.027777778,20,80,1840,11600,66240,417600
Senecio jacobaea,14/07/2011,10:30,troopers hill,grassland park,single capitulum,2011,1,26,19,3,32,16,0,1,0.006944444,16,48,304,2304,43776,331776
Senecio jacobaea,14/07/2011,10:30,troopers hill,grassland park,single capitulum,2011,2,37,43,0,16,36,0,2,0.013888889,36,52,1548,4160,111456,299520
Senecio jacobaea,14/07/2011,10:30,troopers hill,grassland park,single capitulum,2011,3,125,60,40,48,12,0,4,0.027777778,12,60,720,13500,25920,486000
Senecio jacobaea,14/07/2011,10:30,troopers hill,grassland park,single capitulum,2011,4,32,16,2,40,14,0,1,0.006944444,14,54,224,2700,32256,388800
Senecio jacobaea,14/07/2011,10:30,troopers hill,grassland park,single capitulum,2011,5,43,1,0,14,52,0,1,0.006944444,52,66,52,2904,7488,418176
Senecio vulgaris,08/05/2012,11:45,north road-leigh woods,grassland,single capitulum,2012,1,46,79,49,12,98,0,6,0.041666667,98,110,7742,19140,185808,459360
Senecio vulgaris,08/05/2012,11:45,north road-leigh woods,grassland,single capitulum,2012,2,39,72,69,28,74,0,2,0.013888889,74,102,5328,18360,383616,1321920
Senecio vulgaris,05/07/2012,13:15,pill allotments,allotments,single capitulum,2012,1,15,20,42,0,36,0,2,0.013888889,36,36,720,2772,51840,199584
Senecio vulgaris,05/07/2012,13:15,pill allotments,allotments,single capitulum,2012,2,18,45,98,14,32,0,6,0.041666667,32,46,1440,7406,34560,177744
Senecio vulgaris,05/07/2012,13:15,pill allotments,allotments,single capitulum,2012,3,13,55,112,0,64,0,8,0.055555556,64,64,3520,11520,63360,207360
Senecio vulgaris,05/07/2012,13:15,pill allotments,allotments,single capitulum,2012,4,8,19,22,0,60,0,1,0.006944444,60,60,1140,2940,164160,423360
Senecio vulgaris,05/07/2012,13:15,pill allotments,allotments,single capitulum,2012,5,19,15,31,40,42,0,1,0.006944444,42,82,630,5330,90720,767520
Silene dioica,27/06/2011,10:00,ashton court,woodland carpark,single flower,2011,1,8,45,20,0,1,0,26,0.180555556,1,1,45,73,249.2307692,404.3076923
Silene dioica,27/06/2011,10:00,ashton court,woodland carpark,single flower,2011,2,12,60,35,0,1,0,22,0.152777778,1,1,60,107,392.7272727,700.3636364
Silene dioica,27/06/2011,10:00,ashton court,woodland carpark,single flower,2011,3,0,7,22,0,1,0,8,0.055555556,1,1,7,29,126,522
Silene dioica,27/06/2011,10:00,ashton court,woodland carpark,single flower,2011,4,1,10,35,0,1,0,3,0.020833333,1,1,10,46,480,2208
Silene dioica,27/06/2011,10:00,ashton court,woodland carpark,single flower,2011,5,10,15,12,0,1,0,15,0.104166667,1,1,15,37,144,355.2
Silene dioica,16/06/2011,11:00,brandon hill,grassland park,single flower,2011,1,2,3,24,0,1,0,8,0.055555556,1,1,3,29,54,522
Silene dioica,16/06/2011,11:00,brandon hill,grassland park,single flower,2011,2,37,44,48,0,1,0,26,0.180555556,1,1,44,129,243.6923077,714.4615385
Silene dioica,16/06/2011,11:00,brandon hill,grassland park,single flower,2011,3,15,13,6,0,1,0,7,0.048611111,1,1,13,34,267.4285714,699.4285714
Silene dioica,16/06/2011,11:00,brandon hill,grassland park,single flower,2011,4,0,3,6,0,1,0,9,0.0625,1,1,3,9,48,144
Silene dioica,16/06/2011,11:00,brandon hill,grassland park,single flower,2011,5,9,47,39,0,1,0,26,0.180555556,1,1,47,95,260.3076923,526.1538462
Silene vulgaris,08/08/2011,13:00,troopers hill,grassland park,single flower,2011,1,12,7,4,0,1,0,3,0.020833333,1,1,7,23,336,1104
Silene vulgaris,08/08/2011,13:00,troopers hill,grassland park,single flower,2011,2,8,4,6,0,1,0,2,0.013888889,1,1,4,18,288,1296
Silene vulgaris,08/08/2011,13:00,troopers hill,grassland park,single flower,2011,3,9,9,10,0,1,0,4,0.027777778,1,1,9,28,324,1008
Sinapis arvensis,24/05/2012,14:00,brandon hill,grassland-park,single flower,2012,1,66,12,10,0,1,0,4,0.027777778,1,1,12,88,432,3168
Sinapis arvensis,24/05/2012,14:00,brandon hill,grassland-park,single flower,2012,2,675,140,96,0,1,0,7,0.048611111,1,1,140,911,2880,18740.57143
Sinapis arvensis,24/05/2012,14:00,brandon hill,grassland-park,single flower,2012,3,504,132,72,0,1,0,7,0.048611111,1,1,132,708,2715.428571,14564.57143
Sinapis arvensis,24/05/2012,14:00,brandon hill,grassland-park,single flower,2012,4,51,7,18,0,1,0,2,0.013888889,1,1,7,76,504,5472
Sinapis arvensis,24/05/2012,14:00,brandon hill,grassland-park,single flower,2012,5,198,36,36,0,1,0,4,0.027777778,1,1,36,270,1296,9720
Sinapis arvensis,09/05/2012,11:00,greenhouse-university,pot,single flower,2012,1,368,220,510,0,1,0,11,0.076388889,1,1,220,1098,2880,14373.81818
Sinapis arvensis,09/05/2012,11:00,greenhouse-university,pot,single flower,2012,2,448,360,600,0,1,0,4,0.027777778,1,1,360,1408,12960,50688
Sisymbrium officinale,14/06/2011,15:00,brandon hill,woodland nature reserve,single raceme,2011,1,13,80,0,6,4,2,24,0.166666667,4,12,320,1116,1920,6696
Sisymbrium officinale,14/06/2011,15:00,brandon hill,woodland nature reserve,single raceme,2011,2,8,55,2,8,1,0,16,0.111111111,1,9,55,585,495,5265
Sisymbrium officinale,14/06/2011,15:00,brandon hill,woodland nature reserve,single raceme,2011,3,8,72,6,10,4,0,20,0.138888889,4,14,288,1204,2073.6,8668.8
Sisymbrium officinale,14/06/2011,15:00,brandon hill,woodland nature reserve,single raceme,2011,4,4,60,4,9,3,3,10,0.069444444,3,15,180,1020,2592,14688
Sisymbrium officinale,14/06/2011,15:00,brandon hill,woodland nature reserve,single raceme,2011,5,12,75,4,10,3,2,22,0.152777778,3,15,225,1365,1472.727273,8934.545455
Sisymbrium officinale,09/08/2011,NA,troopers hill,grassland park,single raceme,2011,1,0,82,0,5,4,21,7,0.048611111,4,30,328,2460,6747.428571,50605.71429
Sisymbrium officinale,09/08/2011,NA,troopers hill,grassland park,single raceme,2011,2,0,20,0,13,3,11,1,0.006944444,3,27,60,540,8640,77760
Sisymbrium officinale,09/08/2011,NA,troopers hill,grassland park,single raceme,2011,3,0,51,0,13,4,4,6,0.041666667,4,21,204,1071,4896,25704
Sisymbrium officinale,09/08/2011,NA,troopers hill,grassland park,single raceme,2011,4,0,24,0,12,3,11,2,0.013888889,3,26,72,624,5184,44928
Sisymbrium officinale,09/08/2011,NA,troopers hill,grassland park,single raceme,2011,5,0,47,0,7,5,9,5,0.034722222,5,21,235,987,6768,28425.6
Solanum dulcamara,03/08/2011,14:00,ashton court nature reserve,woodland carpark,single flower,2011,1,24,2,3,0,1,0,1,0.006944444,1,1,2,29,288,4176
Solanum dulcamara,03/08/2011,14:00,ashton court nature reserve,woodland carpark,single flower,2011,2,10,1,11,0,1,0,3,0.020833333,1,1,1,22,48,1056
Solanum dulcamara,03/08/2011,14:00,ashton court nature reserve,woodland carpark,single flower,2011,3,6,2,20,0,1,0,3,0.020833333,1,1,2,28,96,1344
Solanum dulcamara,03/08/2011,14:00,ashton court nature reserve,woodland carpark,single flower,2011,4,22,3,11,0,1,0,4,0.027777778,1,1,3,36,108,1296
Solanum dulcamara,03/08/2011,14:00,ashton court nature reserve,woodland carpark,single flower,2011,5,2,2,7,0,1,0,3,0.020833333,1,1,2,11,96,528
Solanum nigrum,16/08/2011,10:00,river frome,wetland,single flower,2011,1,65,24,28,0,1,0,19,0.131944444,1,1,24,117,181.8947368,886.7368421
Solanum nigrum,16/08/2011,10:00,river frome,wetland,single flower,2011,2,32,12,21,0,1,0,9,0.0625,1,1,12,65,192,1040
Solanum tuberosum,28/06/2012,10:30,pill allotments1,allotments,single flower,2012,1,7,7,0,0,1,0,31,0.215277778,1,1,7,14,32.51612903,65.03225806
Solanum tuberosum,28/06/2012,10:30,pill allotments1,allotments,single flower,2012,2,27,10,0,0,1,0,33,0.229166667,1,1,10,37,43.63636364,161.4545455
Solanum tuberosum,28/06/2012,10:30,pill allotments1,allotments,single flower,2012,3,14,1,0,0,1,0,34,0.236111111,1,1,1,15,4.235294118,63.52941176
Solanum tuberosum,28/06/2012,10:30,pill allotments1,allotments,single flower,2012,4,16,2,0,0,1,0,36,0.25,1,1,2,18,8,72
Solanum tuberosum,28/06/2012,10:30,pill allotments1,allotments,single flower,2012,5,26,9,1,0,1,0,34,0.236111111,1,1,9,36,38.11764706,152.4705882
Solanum tuberosum,28/06/2012,10:30,pill allotments2,allotments,single flower,2012,1,9,4,3,0,1,0,29,0.201388889,1,1,4,16,19.86206897,79.44827586
Solanum tuberosum,28/06/2012,10:30,pill allotments2,allotments,single flower,2012,2,8,3,1,0,1,0,30,0.208333333,1,1,3,12,14.4,57.6
Solanum tuberosum,28/06/2012,10:30,pill allotments2,allotments,single flower,2012,3,14,4,4,0,1,0,26,0.180555556,1,1,4,22,22.15384615,121.8461538
Solanum tuberosum,28/06/2012,10:30,pill allotments2,allotments,single flower,2012,4,10,1,6,0,1,0,33,0.229166667,1,1,1,17,4.363636364,74.18181818
Solanum tuberosum,28/06/2012,10:30,pill allotments2,allotments,single flower,2012,5,7,12,5,0,1,0,34,0.236111111,1,1,12,24,50.82352941,101.6470588
Sonchus arvensis,08/08/2011,11:50,troopers hill,grassland park,single capitulum,2011,1,8,6,32,0,158,0,4,0.027777778,158,158,948,7268,34128,261648
Sonchus arvensis,08/08/2011,11:50,troopers hill,grassland park,single capitulum,2011,2,7,2,25,0,124,30,2,0.013888889,124,154,248,5236,17856,376992
Sonchus arvensis,08/08/2011,11:50,troopers hill,grassland park,single capitulum,2011,4,18,8,61,0,230,0,6,0.041666667,230,230,1840,20010,44160,480240
Sonchus arvensis,08/08/2011,11:50,troopers hill,grassland park,single capitulum,2011,5,21,2,47,0,240,0,5,0.034722222,240,240,480,16800,13824,483840
Sonchus asper,04/07/2011,09:00,brandon hill,grassland park,single capitulum,2011,1,34,3,12,8,162,0,7,0.048611111,162,170,486,8330,9997.714286,171360
Sonchus asper,04/07/2011,09:00,brandon hill,grassland park,single capitulum,2011,2,7,3,1,24,116,0,3,0.020833333,116,140,348,1540,16704,73920
Sonchus asper,04/07/2011,09:00,brandon hill,grassland park,single capitulum,2011,3,35,4,8,0,208,0,7,0.048611111,208,208,832,9776,17115.42857,201106.2857
Sonchus asper,04/07/2011,09:00,brandon hill,grassland park,single capitulum,2011,4,19,1,3,0,178,0,8,0.055555556,178,178,178,4094,3204,73692
Sonchus asper,04/07/2011,09:00,brandon hill,grassland park,single capitulum,2011,5,29,4,12,0,164,0,12,0.083333333,164,164,656,7380,7872,88560
Sonchus asper,16/08/2011,NA,river frome,wetland,single capitulum,2011,1,7,2,30,12,180,0,2,0.013888889,180,192,360,7488,25920,539136
Sonchus asper,16/08/2011,NA,river frome,wetland,single capitulum,2011,2,4,2,1,0,140,0,1,0.006944444,140,140,280,980,40320,141120
Sonchus asper,16/08/2011,NA,river frome,wetland,single capitulum,2011,3,7,1,15,46,160,0,3,0.020833333,160,206,160,4738,7680,227424
Sonchus asper,16/08/2011,NA,river frome,wetland,single capitulum,2011,4,15,1,78,0,194,0,4,0.027777778,194,194,194,18236,6984,656496
Sonchus asper,16/08/2011,NA,river frome,wetland,single capitulum,2011,5,14,3,12,0,196,0,1,0.006944444,196,196,588,5684,84672,818496
Sonchus asper,03/09/2012,11:30,pill allotments,allotments,single capitulum,2012,1,17,3,28,0,50,98,2,0.013888889,50,148,150,7104,10800,511488
Sonchus asper,03/09/2012,11:30,pill allotments,allotments,single capitulum,2012,2,10,2,7,0,60,100,3,0.020833333,60,160,120,3040,5760,145920
Sonchus asper,03/09/2012,11:30,pill allotments,allotments,single capitulum,2012,3,29,5,36,0,70,40,4,0.027777778,70,110,350,7700,12600,277200
Sonchus asper,03/09/2012,11:30,pill allotments,allotments,single capitulum,2012,4,14,2,30,5,60,30,2,0.013888889,60,95,120,4370,8640,314640
Sonchus oleraceus,13/06/2011,12:30,brandon hill,woodland nature reserve,single capitulum,2011,1,28,14,70,112,114,8,16,0.111111111,114,234,1596,26208,14364,235872
Sonchus oleraceus,13/06/2011,12:30,brandon hill,woodland nature reserve,single capitulum,2011,2,10,8,42,96,138,0,20,0.138888889,138,234,1104,14040,7948.8,101088
Sonchus oleraceus,13/06/2011,12:30,brandon hill,woodland nature reserve,single capitulum,2011,3,28,18,80,100,104,8,28,0.194444444,104,212,1872,26712,9627.428571,137376
Sonchus oleraceus,13/06/2011,12:30,brandon hill,woodland nature reserve,single capitulum,2011,4,13,3,13,76,132,16,5,0.034722222,132,224,396,6496,11404.8,187084.8
Sonchus oleraceus,13/06/2011,12:30,brandon hill,woodland nature reserve,single capitulum,2011,5,6,2,65,84,122,0,12,0.083333333,122,206,244,15038,2928,180456
Sonchus oleraceus,08/08/2011,13:00,troopers hill,grassland park,single capitulum,2011,1,117,25,52,0,102,0,15,0.104166667,102,102,2550,19788,24480,189964.8
Sonchus oleraceus,08/08/2011,13:00,troopers hill,grassland park,single capitulum,2011,2,40,5,5,70,102,0,3,0.020833333,102,172,510,8600,24480,412800
Sonchus oleraceus,08/08/2011,13:00,troopers hill,grassland park,single capitulum,2011,3,56,3,3,0,130,0,5,0.034722222,130,130,390,8060,11232,232128
Sonchus oleraceus,08/08/2011,13:00,troopers hill,grassland park,single capitulum,2011,4,62,5,5,0,108,0,4,0.027777778,108,108,540,7776,19440,279936
