species,date,hour,location,habitat,FU.category,year,quadrat.no.independency,nb.of.floral.units.in.buds,nb.of.opened.floral.units,nb.of.fruited.floral.units,nb.of.buds.per.opened.floral.unit,nb.of.opened.flowers.per.opened.floral.unit,nb.of.fruited.flowers.per.opened.floral.unit,nb.of.cross.points,vegetative.area,nb.of.opened.flowers.per.fu,nb.of.total.flowers.per.fu,nb.of.opened.flowers,nb.of.total.flowers,nb.of.opened.flowers.per.m2,nb.of.total.flowers.per.m2
Cirsium palustre,08/07/2011,11:00,ashton court,grassland nature reserve,single capitulum,2011,5,47,13,7,0,64,0,3,0.020833333,64,64,832,4288,39936,205824
Cirsium palustre,10/07/2012,12:00,westay nature reserve,wetland-grassland,single capitulum,2012,1,13,5,13,10,42,0,3,0.020833333,42,52,210,1612,10080,77376
Cirsium palustre,10/07/2012,12:00,westay nature reserve,wetland-grassland,single capitulum,2012,2,116,7,33,6,42,0,5,0.034722222,42,48,294,7488,8467.2,215654.4
Cirsium palustre,10/07/2012,12:00,westay nature reserve,wetland-grassland,single capitulum,2012,3,41,7,27,14,70,8,3,0.020833333,70,92,490,6900,23520,331200
Cirsium palustre,10/07/2012,12:00,westay nature reserve,wetland-grassland,single capitulum,2012,4,29,3,6,0,62,0,1,0.006944444,62,62,186,2356,26784,339264
Cirsium palustre,10/07/2012,12:00,westay nature reserve,wetland-grassland,single capitulum,2012,5,21,10,10,0,54,0,1,0.006944444,54,54,540,2214,77760,318816
Cirsium vulgare,25/07/2011,09:30,troopers hill,grassland park,single capitulum,2011,1,75,9,12,60,150,0,25,0.173611111,150,210,1350,20160,7776,116121.6
Cirsium vulgare,25/07/2011,09:30,troopers hill,grassland park,single capitulum,2011,2,120,21,37,140,56,0,35,0.243055556,56,196,1176,34888,4838.4,143539.2
Cirsium vulgare,25/07/2011,09:30,troopers hill,grassland park,single capitulum,2011,3,100,14,28,40,320,0,31,0.215277778,320,360,4480,51120,20810.32258,237460.6452
Cirsium vulgare,25/07/2011,09:30,troopers hill,grassland park,single capitulum,2011,4,110,22,41,0,60,400,26,0.180555556,60,460,1320,79580,7310.769231,440750.7692
